name,combo,passed,min_ess,n_sig,pi_Dot-com,pi_GFC,pi_COVID,pi_Non-crisis,pi_Calm 2013-19
DD+DISP+REL_N,"['DD_z', 'DISP_z', 'REL_N_z']",True,602.5744246164369,3,0.9898312646070064,0.8522121857993945,0.9994490340480815,0.1887477617322483,0.12340548356134454
DD+DISP+CS,"['DD_z', 'DISP_z', 'CS_z']",True,370.428003956783,3,0.8603755822688732,0.8586050959483827,0.9452780610689734,0.10043610451221276,0.14825150161977854
DD+DISP+LVIX,"['DD_z', 'DISP_z', 'LVIX_z']",False,15.460757167389419,3,0.9096144250865734,0.8644963299390866,0.9844527475194405,0.095847088227217,0.10391611862625959
DD+DISP+ADR,"['DD_z', 'DISP_z', 'ADR_z']",True,1019.716527713089,3,0.8953165415157222,0.8657700807672034,0.9305645774360123,0.10283420551068684,0.19377817629746405
DD+DISP+SKEW,"['DD_z', 'DISP_z', 'SKEW_z']",True,1186.9339821742392,3,0.9913780546543765,0.8664219665063777,0.7499227294810524,0.10594001953242622,0.10664833553595948
DD+DISP+TERM,"['DD_z', 'DISP_z', 'TERM_z']",True,865.505117944113,2,0.9968584589849881,0.8624771940787745,0.9999690645257345,0.08687428478970832,0.17640461417016903
DD+REL_N+CS,"['DD_z', 'REL_N_z', 'CS_z']",True,798.9144720769808,3,0.8356019125679661,0.8640868336345736,0.783490482028488,0.08520159186544483,0.13908869390109957
DD+REL_N+LVIX,"['DD_z', 'REL_N_z', 'LVIX_z']",True,556.9088548635145,3,0.9948556761117943,0.9956831525828242,0.9086904870722159,0.2687108196244781,0.0878953205599677
DD+REL_N+ADR,"['DD_z', 'REL_N_z', 'ADR_z']",True,1102.2616375164425,2,0.8677623506792322,0.8515917038840548,0.7687471729451454,0.11163198167464129,0.11316612358368307
DD+REL_N+SKEW,"['DD_z', 'REL_N_z', 'SKEW_z']",True,364.77318512670325,3,0.9106184892290928,0.8630420157641527,0.7084705788294569,0.09953430920673756,0.07571430356562456
DD+REL_N+TERM,"['DD_z', 'REL_N_z', 'TERM_z']",False,1246.4243981735408,3,0.7420432878068577,0.8472023089710173,0.665653027919701,0.4410460638140354,0.16437975664579968
DD+CS+LVIX,"['DD_z', 'CS_z', 'LVIX_z']",True,739.1838872344364,3,0.8441280363772541,0.8638800546127282,0.8501400234320762,0.10288319607608976,0.12919021915728665
DD+CS+ADR,"['DD_z', 'CS_z', 'ADR_z']",True,253.3512470917099,3,0.8622120966855165,0.8565235896765422,0.8015408828732005,0.10035326459790576,0.16574107010981987
DD+CS+SKEW,"['DD_z', 'CS_z', 'SKEW_z']",True,1182.4466473694931,3,0.8919741127121903,0.883715185745013,0.7499874834676137,0.09688494362170878,0.12232723333677342
DD+CS+TERM,"['DD_z', 'CS_z', 'TERM_z']",True,953.8098615646439,3,0.7466114102461232,0.8527455310951544,0.7604068231901702,0.09629412796541166,0.12277805955966346
DD+LVIX+ADR,"['DD_z', 'LVIX_z', 'ADR_z']",True,463.20736395878686,3,0.886895490295533,0.8577055265513055,0.7992231997197818,0.10392377014575162,0.14246229323621534
DD+LVIX+SKEW,"['DD_z', 'LVIX_z', 'SKEW_z']",True,241.8967880055404,3,0.9972594382666438,0.997778985656163,0.750001713955165,0.21151458200661896,0.0917647898972419
DD+LVIX+TERM,"['DD_z', 'LVIX_z', 'TERM_z']",True,1500.0,3,0.9992999006985533,0.9990771048009318,0.9953074483048907,0.08829474796715957,0.14781582731769574
DD+ADR+SKEW,"['DD_z', 'ADR_z', 'SKEW_z']",True,1097.2924206006478,3,0.9159796264588133,0.8677904290784969,0.7499926557521592,0.10332298063786105,0.13073865525175318
DD+ADR+TERM,"['DD_z', 'ADR_z', 'TERM_z']",True,898.9203267171769,3,0.8943311690341675,0.8610872567769222,0.9685132929957532,0.09526425989898712,0.18576601929410663
DD+SKEW+TERM,"['DD_z', 'SKEW_z', 'TERM_z']",True,923.0983783623124,3,0.9370071480490623,0.88410612132596,0.745742055432009,0.0956107714896503,0.11308739954661966
DD+VOL+DISP+REL_N,"['DD_z', 'VOL_z', 'DISP_z', 'REL_N_z']",True,526.43908564689,4,0.968450111181203,0.8589007394915648,0.9999149796256974,0.18442916448070243,0.09869859667803943
DD+VOL+DISP+CS,"['DD_z', 'VOL_z', 'DISP_z', 'CS_z']",True,137.21982239198275,4,0.8988518232712512,0.8848528539041197,0.9864598465849249,0.09274322502484866,0.14644121869426321
DD+VOL+DISP+LVIX,"['DD_z', 'VOL_z', 'DISP_z', 'LVIX_z']",False,31.199047056437074,4,0.9807230578990919,0.8923123175845367,0.9996720520554192,0.12613488645183138,0.1288618886738517
DD+VOL+DISP+ADR,"['DD_z', 'VOL_z', 'DISP_z', 'ADR_z']",True,88.50848931979876,4,0.8961995477201762,0.8808743588985827,0.828571851266152,0.0942982138381414,0.15726728577679286
DD+VOL+DISP+SKEW,"['DD_z', 'VOL_z', 'DISP_z', 'SKEW_z']",True,269.8753482713694,4,0.9893286957014643,0.9049402050815318,0.7499891192560055,0.11586872549668019,0.11273917462593504
DD+VOL+DISP+TERM,"['DD_z', 'VOL_z', 'DISP_z', 'TERM_z']",True,258.6563884873994,3,0.9959641670631854,0.900761439933569,0.999992055317971,0.08866440888099543,0.18122268193654426
DD+VOL+REL_N+CS,"['DD_z', 'VOL_z', 'REL_N_z', 'CS_z']",True,807.2001242946305,4,0.845350303862524,0.8772939291469374,0.7895247365484457,0.08403968606901706,0.12310215041253801
DD+VOL+REL_N+LVIX,"['DD_z', 'VOL_z', 'REL_N_z', 'LVIX_z']",False,3.0877902519264087,4,0.9371495203142068,0.8744878474326316,0.7591348206475399,0.23042028827195607,0.06920981019413337
DD+VOL+REL_N+ADR,"['DD_z', 'VOL_z', 'REL_N_z', 'ADR_z']",True,687.3064121569114,3,0.8804701204732205,0.8525116827161192,0.7840146077449388,0.10346094886537954,0.08454025296574134
DD+VOL+REL_N+SKEW,"['DD_z', 'VOL_z', 'REL_N_z', 'SKEW_z']",True,284.6207309973547,4,0.9104341885101642,0.8786751181007748,0.7372757245266247,0.10787621066525853,0.058475727609146544
DD+VOL+REL_N+TERM,"['DD_z', 'VOL_z', 'REL_N_z', 'TERM_z']",True,273.8451278158488,4,0.7419532630501487,0.8489737520115355,0.565319190760132,0.36275506477295355,0.04617838440298364
DD+VOL+CS+LVIX,"['DD_z', 'VOL_z', 'CS_z', 'LVIX_z']",True,705.4256133135399,4,0.9171550398831217,0.8806626314831435,0.9071777617461837,0.09403813843761162,0.13519253375393023
DD+VOL+CS+ADR,"['DD_z', 'VOL_z', 'CS_z', 'ADR_z']",True,949.4745765282967,4,0.9180681400739324,0.8572564159362642,0.839526535904132,0.09409825104165077,0.14979558812629165
DD+VOL+CS+SKEW,"['DD_z', 'VOL_z', 'CS_z', 'SKEW_z']",True,251.40794262811522,4,0.9368439002705503,0.9024668038795859,0.7499807459147032,0.09371477767346359,0.12266935263669175
DD+VOL+CS+TERM,"['DD_z', 'VOL_z', 'CS_z', 'TERM_z']",False,6.841961315114181,4,0.7513965014223448,0.8563657389632698,0.7682555022903707,0.10882388522845228,0.12929251223957428
DD+VOL+LVIX+ADR,"['DD_z', 'VOL_z', 'LVIX_z', 'ADR_z']",True,548.6842208918566,4,0.9177751851946649,0.8786758800245874,0.9817440052893902,0.09953107583391098,0.17599308484345086
DD+VOL+LVIX+SKEW,"['DD_z', 'VOL_z', 'LVIX_z', 'SKEW_z']",True,732.9421386985391,4,0.9570213413856649,0.9113436310783929,0.7461324170833926,0.10072220377450081,0.10632926913997494
DD+VOL+LVIX+TERM,"['DD_z', 'VOL_z', 'LVIX_z', 'TERM_z']",True,1252.9310818467732,4,0.9990631592257041,0.9981575967356896,0.9931123139317289,0.0885050074849773,0.14498496064905883
DD+VOL+ADR+SKEW,"['DD_z', 'VOL_z', 'ADR_z', 'SKEW_z']",True,861.9772222046147,4,0.9364621912709192,0.8922284040896191,0.7499954257683003,0.10077179058202673,0.13965768787556057
DD+VOL+ADR+TERM,"['DD_z', 'VOL_z', 'ADR_z', 'TERM_z']",False,6.131788263061617,3,0.7492576102963316,0.8534955380016624,0.7586411406046827,0.2559348535004852,0.13144716676117799
DD+VOL+SKEW+TERM,"['DD_z', 'VOL_z', 'SKEW_z', 'TERM_z']",True,236.80644162739628,3,0.9809029044069538,0.9646316875833527,0.749833609144007,0.11251404703910367,0.15607912482184447
DD+DISP+REL_N+CS,"['DD_z', 'DISP_z', 'REL_N_z', 'CS_z']",True,1184.6848176098551,4,0.9787484037977381,0.8522337340330373,0.9980173404424261,0.1383600496309578,0.15413282836860703
DD+DISP+REL_N+LVIX,"['DD_z', 'DISP_z', 'REL_N_z', 'LVIX_z']",True,436.83522334298385,4,0.9951352882283028,0.9854691548245371,0.9939834450043978,0.25825974139952623,0.08122778324231841
DD+DISP+REL_N+ADR,"['DD_z', 'DISP_z', 'REL_N_z', 'ADR_z']",True,1243.9936544538052,3,0.9884583937521819,0.8512597155858647,0.9984491325692444,0.14952444176756222,0.12727963629226346
DD+DISP+REL_N+SKEW,"['DD_z', 'DISP_z', 'REL_N_z', 'SKEW_z']",True,1136.0739052955023,4,0.997282846363905,0.8522009431132058,0.7500353535016248,0.20616504971029959,0.07617259798798004
DD+DISP+REL_N+TERM,"['DD_z', 'DISP_z', 'REL_N_z', 'TERM_z']",True,1322.288477615645,3,0.9991811949664174,0.8513434207429784,0.9999941554142189,0.1314594881984572,0.1310702352529684
DD+DISP+CS+LVIX,"['DD_z', 'DISP_z', 'CS_z', 'LVIX_z']",True,427.1328012115734,4,0.8895554126758716,0.8568492231808136,0.9935552479863046,0.09025836464027455,0.12953113226878424
DD+DISP+CS+ADR,"['DD_z', 'DISP_z', 'CS_z', 'ADR_z']",True,257.5798360600784,4,0.8769913116499878,0.8552489952550406,0.8285441556348279,0.08979314182153536,0.144549661312702
DD+DISP+CS+SKEW,"['DD_z', 'DISP_z', 'CS_z', 'SKEW_z']",True,362.18000439713524,4,0.9577103295465579,0.8783986796089673,0.7500109019818045,0.10037710851743888,0.12414491881509457
DD+DISP+CS+TERM,"['DD_z', 'DISP_z', 'CS_z', 'TERM_z']",True,430.2898103426749,3,0.9934028522457162,0.8689727247908507,0.9999982940775789,0.09967023019284338,0.1932541670320378
DD+DISP+LVIX+ADR,"['DD_z', 'DISP_z', 'LVIX_z', 'ADR_z']",True,537.3009057601683,4,0.9021039737582925,0.8578835757116504,0.9367371592412312,0.1015771836736284,0.13900302242773602
DD+DISP+LVIX+SKEW,"['DD_z', 'DISP_z', 'LVIX_z', 'SKEW_z']",False,39.161476210664766,4,0.9982325674716398,0.901748520921845,0.7500343088534278,0.14659655522938925,0.07345273700167944
DD+DISP+LVIX+TERM,"['DD_z', 'DISP_z', 'LVIX_z', 'TERM_z']",True,1348.6297127779387,4,0.9998496830408926,0.9986099624494053,0.9999936448605706,0.08745044311064319,0.14844846493456715
DD+DISP+ADR+SKEW,"['DD_z', 'DISP_z', 'ADR_z', 'SKEW_z']",True,117.8912834801494,4,0.9458750840016251,0.8673342144777914,0.7499997276093268,0.10296871287536645,0.1228912201193344
DD+DISP+ADR+TERM,"['DD_z', 'DISP_z', 'ADR_z', 'TERM_z']",True,1067.5055516861162,4,0.9354865623111087,0.8673195086889217,0.9879330322449431,0.08572491781459267,0.17439386177018004
DD+DISP+SKEW+TERM,"['DD_z', 'DISP_z', 'SKEW_z', 'TERM_z']",True,965.3863299104338,3,0.9996668675780972,0.8660123972560516,0.7500000154600731,0.09700709367750178,0.11265229040139857
DD+REL_N+CS+LVIX,"['DD_z', 'REL_N_z', 'CS_z', 'LVIX_z']",True,750.3486629462627,4,0.8125461457097148,0.8825065389182891,0.7626133426745542,0.08731995612168925,0.12609729761436148
DD+REL_N+CS+ADR,"['DD_z', 'REL_N_z', 'CS_z', 'ADR_z']",True,1107.12534566506,3,0.8398878082150855,0.8605996071617705,0.775041100343832,0.09085714820991413,0.1428178921788979
DD+REL_N+CS+SKEW,"['DD_z', 'REL_N_z', 'CS_z', 'SKEW_z']",True,801.588431108432,4,0.867686246772515,0.869481334165501,0.7499969066688932,0.08451719351572129,0.09549842649054671
DD+REL_N+CS+TERM,"['DD_z', 'REL_N_z', 'CS_z', 'TERM_z']",False,6.820436298843325,4,0.7429741975436895,0.8525237347412743,0.7503248600720827,0.3372447628199971,0.13406679169914565
DD+REL_N+LVIX+ADR,"['DD_z', 'REL_N_z', 'LVIX_z', 'ADR_z']",True,1018.7301795834388,3,0.8850254572010433,0.8547791941681598,0.7592530518723233,0.10786669480516124,0.09440813516057453
DD+REL_N+LVIX+SKEW,"['DD_z', 'REL_N_z', 'LVIX_z', 'SKEW_z']",True,1061.0238258721863,3,0.9967303000394493,0.9979496432586983,0.7499981402028424,0.26919412747021537,0.06357254164769635
DD+REL_N+LVIX+TERM,"['DD_z', 'REL_N_z', 'LVIX_z', 'TERM_z']",True,1060.7880654365536,3,0.9994684483119054,0.9964068243422333,0.978982110648297,0.10079411892224976,0.09772744315792245
DD+REL_N+ADR+SKEW,"['DD_z', 'REL_N_z', 'ADR_z', 'SKEW_z']",True,991.6980611067954,3,0.9140334089062466,0.8564974688331212,0.7498760082725597,0.11145251042573527,0.08818928949698067
DD+REL_N+ADR+TERM,"['DD_z', 'REL_N_z', 'ADR_z', 'TERM_z']",False,1253.7116596532298,3,0.7419979860803823,0.8499167544326205,0.7364738147637155,0.41637495880685454,0.12181811007459578
DD+REL_N+SKEW+TERM,"['DD_z', 'REL_N_z', 'SKEW_z', 'TERM_z']",False,59.60024452063608,3,0.7441496069084593,0.85150905335583,0.48700050975318737,0.4077198635109869,0.17645134558029735
DD+CS+LVIX+ADR,"['DD_z', 'CS_z', 'LVIX_z', 'ADR_z']",True,1039.1172387984345,4,0.8583542448881418,0.874637199044006,0.7795016799888292,0.11009529811973578,0.1532547437058331
DD+CS+LVIX+SKEW,"['DD_z', 'CS_z', 'LVIX_z', 'SKEW_z']",True,721.0276513382687,4,0.9973094153839698,0.9696566576860495,0.7500004845162382,0.132509688540687,0.12625560278102904
DD+CS+LVIX+TERM,"['DD_z', 'CS_z', 'LVIX_z', 'TERM_z']",True,1131.4163507906464,4,0.7420641832309205,0.877024265021543,0.7527341030291165,0.27450136050628376,0.14717345209924104
DD+CS+ADR+SKEW,"['DD_z', 'CS_z', 'ADR_z', 'SKEW_z']",True,1191.996928027823,4,0.891016862673706,0.8970403258120573,0.7499999944106976,0.10024034099340513,0.12989803910836148
DD+CS+ADR+TERM,"['DD_z', 'CS_z', 'ADR_z', 'TERM_z']",True,297.1730912089249,3,0.7552025404284449,0.8599261748473699,0.7570652761413061,0.09857889978442343,0.1376952382688743
DD+CS+SKEW+TERM,"['DD_z', 'CS_z', 'SKEW_z', 'TERM_z']",True,93.03990005334744,4,0.8821890222296802,0.9038092202134338,0.7499997376907699,0.09510236595862215,0.1305314175290153
DD+LVIX+ADR+SKEW,"['DD_z', 'LVIX_z', 'ADR_z', 'SKEW_z']",True,186.42855562175296,4,0.9314583485758192,0.8915381384610483,0.7499821434139834,0.10088711407387602,0.10331799659277
DD+LVIX+ADR+TERM,"['DD_z', 'LVIX_z', 'ADR_z', 'TERM_z']",True,1182.9664945777824,4,0.9993897489703276,0.9981488658715847,0.9370060638586023,0.09739303945060927,0.16085610422877916
DD+LVIX+SKEW+TERM,"['DD_z', 'LVIX_z', 'SKEW_z', 'TERM_z']",True,625.6907275540052,4,0.9996751526128476,0.9992257161242908,0.750007150826027,0.0948861906231027,0.12028898322705539
DD+ADR+SKEW+TERM,"['DD_z', 'ADR_z', 'SKEW_z', 'TERM_z']",True,1067.428245706487,4,0.9208357206715758,0.8828717028554625,0.7499997812770622,0.10335832297802298,0.14110380516346158
